feature,chrome,firefox,safari,interop
user-action-pseudos,60.0,100.0,80.0,60.0
font-synthesis,59.4,100.0,59.4,59.4
box-shadow,72.4,59.3,64.6,59.3
webrtc-stats,87.0,61.5,59.0,59.0
webxr-dom-overlays,73.7,58.9,58.9,58.9
font-loading,67.6,72.5,58.5,58.5
focus-events,58.3,100.0,76.2,58.3
page-lifecycle,83.3,58.3,58.3,58.3
text-stroke-fill,83.3,100.0,58.3,58.3
page-setup,89.4,58.2,64.7,58.2
font-family-ui,57.9,57.9,100.0,57.9
webrtc-sctp,78.9,57.9,78.9,57.9
touch-action,100.0,64.6,57.6,57.6
screen-wake-lock,97.3,90.4,57.5,57.5
page-break-aliases,100.0,100.0,57.1,57.1
path-shape,57.1,100.0,100.0,57.1
wasm-exnref-exceptions,57.1,57.1,100.0,57.1
display,80.4,78.8,56.8,56.8
paint-timing,94.6,70.3,56.8,56.8
credential-management,94.8,57.5,56.6,56.6
notifications,82.8,69.3,56.4,56.4
text-combine-upright,57.3,69.8,56.2,56.2
webrtc-encoded-transform,67.8,56.5,56.1,56.1
column-breaks,97.4,55.7,60.3,55.7
webtransport,55.7,64.1,76.7,55.7
webvtt,55.4,64.7,63.6,55.4
prefers-reduced-motion,55.2,55.2,55.2,55.2
clear-site-data,54.9,92.7,65.5,54.9
host-context,100.0,54.5,54.5,54.5
font-face,54.3,77.2,62.4,54.3
popover-hint,70.3,70.3,54.1,54.1
wasm-tail-call-optimization,53.5,53.5,99.1,53.5
two-value-display,75.3,75.9,53.3,53.3
font-width,55.9,52.9,100.0,52.9
target-text,94.7,68.4,52.6,52.6
canvas-2d-color-management,92.9,52.3,99.5,52.3
display-ruby,60.9,89.8,52.3,52.3
upgrade-insecure-requests,83.3,52.1,73.4,52.1
text-underline-offset,100.0,100.0,52.0,52.0
wasm-simd,51.8,51.8,100.0,51.8
text-transform,73.5,50.8,64.6,50.8
wasm-typed-fun-refs,50.8,50.8,95.9,50.8
display-flow-root,100.0,100.0,50.0,50.0
display-list-item,100.0,100.0,50.0,50.0
justify-self-block,100.0,50.0,50.0,50.0
print-color-adjust,50.0,100.0,100.0,50.0
spelling-grammar-error,50.0,50.0,50.0,50.0
supports-compat,100.0,50.0,100.0,50.0
vibration,100.0,50.0,50.0,50.0
overflow-clip-margin,92.1,81.6,49.2,49.2
sizes-auto,96.2,99.1,49.1,49.1
supports-at-rule,100.0,48.0,48.0,48.0
object-fit,52.8,96.5,47.2,47.2
wasm-reference-types,47.2,47.2,100.0,47.2
background-sync,100.0,47.1,47.1,47.1
baseline-shift,47.1,100.0,47.1,47.1
wasm-simd-relaxed,47.1,47.1,48.4,47.1
masonry,46.4,46.2,77.2,46.2
screen-orientation,67.3,73.1,46.2,46.2
web-otp,100.0,46.2,46.2,46.2
device-posture,100.0,45.2,45.2,45.2
webxr-gamepads,55.6,44.4,44.4,44.4
interpolate-size,100.0,44.3,44.3,44.3
word-break-auto-phrase,100.0,43.8,43.8,43.8
host,97.0,60.6,43.4,43.4
prefers-reduced-data,43.3,43.3,43.3,43.3
fetch-request-streams,100.0,48.7,41.9,41.9
selection,91.0,55.1,41.6,41.6
before-after,41.4,96.6,48.3,41.4
text-autospace,43.2,63.1,41.4,41.4
capture-stream-audio-video,100.0,81.8,40.9,40.9
network-information,88.1,40.5,40.5,40.5
